PATIENT_ID,BIRTHDATE,DEATHDATE,SSN,DRIVERS,PASSPORT,PREFIX,FIRST,LAST,SUFFIX,MAIDEN,MARITAL,RACE,ETHNICITY,GENDER,BIRTHPLACE,ADDRESS,CITY,STATE,COUNTY,FIPS,ZIP,LAT,LON,HEALTHCARE_EXPENSES,HEALTHCARE_COVERAGE,INCOME
54f1059e-6250-3949-6dd0-1dda9b85d22a,2002-01-21,,999-28-3364,S99987398,X44428214X,Ms.,Fredricka415,Crist667,,,,white,nonhispanic,NaN,San Antonio  Texas  US,931 Bartell Ville Apt 84,Fort Worth,Texas,Tarrant County,48439.0,76104,0.32915370924816917,-97.39955327981274,9990.08,0.0,35460
92675303-ca5b-136a-169b-e764c5753f06,1997-04-16,,999-62-9859,S99999770,X75016560X,Mr.,Lorenzo669,Urrutia540,,,,white,hispanic,NaN,Carolina  Puerto Rico  PR,386 Altenwerth Orchard Apt 67,Arlington,Texas,Tarrant County,48439.0,76006,0.32814485490345807,-97.06888454003922,10936.8,0.0,88407
a0b63e97-b6fd-5fe1-8f2d-2bec915efa97,1993-02-04,,999-53-6488,S99979170,X60079936X,Mr.,Luther918,MacGyver246,,,M,white,nonhispanic,NaN,Grand Prairie  Texas  US,250 Morar Fork Apt 66,Houston,Texas,Harris County,48339.0,77357,0.300834261436362,-95.64970638672403,10662.16,0.0,41800
abc59f62-dc5a-5095-1141-80b4ee8be73b,1995-05-23,,999-37-1058,S99981031,X14759314X,Mrs.,Jacque955,Jones311,,Will178,M,white,nonhispanic,NaN,Euless  Texas  US,492 Keebler Estate,Waco,Texas,McLennan County,48309.0,76655,0.31517286057156235,-97.2925575053258,11455.93,0.0,41915
28d7b56c-6056-d0a2-2991-39d6e917216c,1993-11-13,,999-31-6091,S99958903,X63033472X,Mrs.,Angela104,Stanton715,,Funk324,M,white,hispanic,NaN,Cibolo  Texas  US,677 Bosco Extension,Levelland,Texas,Hockley County,48219.0,79336,0.33703727709837006,-102.3618288012336,12449.11,0.0,67198
6f3ec64a-c315-2b26-5973-21ef2f09160f,1985-03-05,,999-14-3900,S99913042,X10141592X,Mrs.,Velvet616,Kemmer137,,Legros616,M,native,nonhispanic,NaN,Fort Worth  Texas  US,893 McGlynn Gateway Apt 0,Missouri City,Texas,Fort Bend County,48201.0,77035,0.2949014369011251,-95.68270305402456,10382.24,0.0,68724
4113255f-4e35-506a-ddef-4429caa17ffc,1980-05-24,,999-88-1434,S99940904,X36361263X,Mrs.,Rasheeda241,Wunsch504,,Heaney114,M,white,nonhispanic,NaN,Lavon  Texas  US,946 Carroll Arcade Suite 20,Houston,Texas,Harris County,48201.0,77009,0.2966204523655135,-95.232306374543,11692.5,0.0,45680
a02a3f43-b6f4-d209-4062-af0cec3b22c1,2014-07-10,,999-99-5386,,,,Jacobo456,Malave728,,,,black,hispanic,NaN,Gaudalajara  Jalisco  MX,530 Zboncak Landing Suite 63,DeSoto,Texas,Dallas County,48113.0,75115,0.3258816641511264,-96.8552646228444,7296.48,0.0,65295
59844213-b884-17cb-59e9-c07a73a06f41,1975-10-13,,999-75-8169,S99993905,X42469361X,Mr.,Frederick289,Breitenberg711,,,S,asian,nonhispanic,NaN,Cameron Park  Texas  US,227 Stiedemann Union Suite 28,Watauga,Texas,Tarrant County,48439.0,76148,0.329669821179221,-97.19582448180054,10182.34,1638.24,30100
239ae86a-96db-6211-9042-d3f2850aabb8,1969-05-26,,999-74-7366,S99980857,X88473183X,Mr.,Darrell400,Muller251,,,M,white,hispanic,NaN,Duncanville  Texas  US,541 Stracke Plaza,San Antonio,Texas,Bexar County,48029.0,78260,0.2950709976037261,-98.72082622886894,14497.75,3714.72,3928
